# time_flux P1 P2 Z PO4 Psupply
4.630000000000000426e+01 2.619356696516603744e-01 3.383564329768578571e-01 4.202692025995405367e-01 2.579931440889673966e-01 5.000000000000000278e-02
4.640000000000000568e+01 2.619356696516603744e-01 3.383564329768578571e-01 4.202692025995405367e-01 2.579931440889673966e-01 5.000000000000000278e-02
4.650000000000000000e+01 2.623447969262068247e-01 3.387003994912952121e-01 4.197550678456672402e-01 2.577816853778109873e-01 5.000000000000000278e-02
4.660000000000000142e+01 2.623447969262068247e-01 3.387003994912952121e-01 4.197550678456672402e-01 2.577816853778109873e-01 5.000000000000000278e-02
4.670000000000000284e+01 2.627579934216134339e-01 3.390394930250908989e-01 4.192495929648272779e-01 2.575684271946964143e-01 5.000000000000000278e-02
4.680000000000000426e+01 2.627579934216134339e-01 3.390394930250908989e-01 4.192495929648272779e-01 2.575684271946964143e-01 5.000000000000000278e-02
4.690000000000000568e+01 2.631750526301452897e-01 3.393736435863897727e-01 4.187527932937333275e-01 2.573534926743024087e-01 5.000000000000000278e-02
4.700000000000000000e+01 2.631750526301452897e-01 3.393736435863897727e-01 4.187527932937333275e-01 2.573534926743024087e-01 5.000000000000000278e-02
4.710000000000000142e+01 2.635957702314490336e-01 3.397027844131766949e-01 4.182646810128561876e-01 2.571370032817764106e-01 5.000000000000000278e-02
4.720000000000000284e+01 2.635957702314490336e-01 3.397027844131766949e-01 4.182646810128561876e-01 2.571370032817764106e-01 5.000000000000000278e-02
4.730000000000000426e+01 2.640199441055044449e-01 3.400268519576302717e-01 4.177852652196336058e-01 2.569190787724567326e-01 5.000000000000000278e-02
4.740000000000000568e+01 2.640199441055044449e-01 3.400268519576302717e-01 4.177852652196336058e-01 2.569190787724567326e-01 5.000000000000000278e-02
